Agence entree reseau;Agence sortie reseau;D‚partement;INSEE;Cp;Ville;PS;Correspondant;Ligne depart;UM;Poids;Latitude;Longitude;Zone
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;LES MONTS D AUNAY;[NT50S] NORMATRANS 50 ST LO;NT50S;502;2;924;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 50 ST LO;14;14027;14260;AUNAY SUR ODON;[NT50S] NORMATRANS 50 ST LO;NT50S;502;2;512;49.0202789306639;-0.632499992847416;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;;NT14G;;1;82.36;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;434.4;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;;NT14G;;1;117.83;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;317;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;3;1;561.18;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;85.9;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;83.61;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14030;14280;AUTHIE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;2;1;101.54;49.2072219848631;-0.430000007152558;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14033;14340;AUVILLARS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;54;1;425;49.1936111450202;0.0722220018506053;Zone 2
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14034;14210;AVENAY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;2;2040;49.1005554199222;-0.464722007513047;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14035;14490;BALLEROY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;51;1;740;49.180557250977;-0.836111009120955;Zone 2
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14035;14490;BALLEROY SUR DROME;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;399.2;49.180557250977;-0.836111009120955;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14035;14490;BALLEROY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;51;1;740;49.180557250977;-0.836111009120955;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14035;14490;BALLEROY;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;51;1;230;49.180557250977;-0.836111009120955;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14038;14480;BANVILLE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;000PAQ;1;620;49.3122215270999;-0.488611012697219;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14038;14480;BANVILLE;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;18;1;310;49.3122215270999;-0.488611012697219;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14042;14210;BARON SUR ODON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;31;2;953;49.1302795410161;-0.479721993207933;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14042;14210;BARON SUR ODON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;31;1;804.6;49.1302795410161;-0.479721993207933;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14042;14210;BARON SUR ODON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;31;3;2413.8;49.1302795410161;-0.479721993207933;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14042;14210;BARON SUR ODON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;31;1;806;49.1302795410161;-0.479721993207933;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14042;14210;BARON SUR ODON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;31;1;261;49.1302795410161;-0.479721993207933;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14042;14210;BARON SUR ODON;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;31;1;777.6;49.1302795410161;-0.479721993207933;Zone 1
